agency,speno,species,deploy_year,sex,age,location,region,permit,publications,adfg identifier,latitude,longitude
PEP,HF2016_1019,Ribbon seal,2016,F,ADULT,Bering Sea,Central Bering Sea,19309,NA,NA,NA,NA
PEP,HF2016_1023,Ribbon seal,2016,F,SUBADULT,Bering Sea,Central Bering Sea,19309,NA,NA,NA,NA
PEP,PL2006_5974,Spotted seal,2006,M,YOUNG OF YEAR,Bering Sea,Central Bering Sea,782-1676,NA,NA,NA,NA
PEP,PL2006_5976,Spotted seal,2006,F,SUBADULT,Bering Sea,Central Bering Sea,782-1676,NA,NA,NA,NA
PEP,PL2006_5977,Spotted seal,2006,M,YOUNG OF YEAR,Bering Sea,Central Bering Sea,782-1676,NA,NA,NA,NA
PEP,PL2006_5986,Spotted seal,2006,M,YOUNG OF YEAR,Bering Sea,Central Bering Sea,782-1676,NA,NA,NA,NA
PEP,PL2006_5990,Spotted seal,2006,F,YOUNG OF YEAR,Bering Sea,Central Bering Sea,782-1676,NA,NA,NA,NA
PEP,PL2007_6037,Spotted seal,2007,F,ADULT,Bering Sea,Central Bering Sea,782-1676,NA,NA,NA,NA
PEP,PL2007_6038,Spotted seal,2007,M,ADULT,Bering Sea,Central Bering Sea,782-1676,NA,NA,NA,NA
PEP,PL2007_6040,Spotted seal,2007,M,YOUNG OF YEAR,Bering Sea,Central Bering Sea,782-1676,NA,NA,NA,NA
PEP,PL2007_6041,Spotted seal,2007,M,SUBADULT,Bering Sea,Central Bering Sea,782-1676,NA,NA,NA,NA
