"DeployIDs","Ptt","TagType","HistType","GMTDate","MonthNumb","LocationQuality","Latitude","Longitude","Sum","Bin1","Bin2","Bin3","Bin4","Bin5","Bin6","Bin7","Bin8","Bin9","Bin10","Bin11","Bin12","Bin13","Bin14","Bin15","Bin16","Bin17","Bin18","Bin19","Bin20","Bin21","Bin22","Bin23","Bin24"
"EB14KKA-136713",138003.00,"Spot","Percent",42090.00,"03",,,,,100.00,100.00,100.00,100.00,100.00,20.00,0.00,0.00,0.00,0.00,3.00,3.00,0.00,3.00,0.00,0.00,0.00,30.00,100.00,100.00,100.00,100.00,100.00,100.00
"EB14KKA-136713",138003.00,"Spot","Percent",42091.00,"03",,,,,100.00,100.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,40.00,50.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,3.00,40.00
"EB14KKA-136713",138003.00,"Spot","Percent",42093.00,"03",,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,100.00,100.00,100.00,30.00,50.00
"EB14KKA-136713",138003.00,"Spot","Percent",42094.00,"03",,,,,100.00,100.00,100.00,100.00,100.00,100.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,3.00,100.00
"EB14KKA-136713",138003.00,"Spot","Percent",42100.00,"04",,,,,0.00,3.00,3.00,0.00,0.00,0.00,3.00,0.00,0.00,3.00,3.00,3.00,3.00,0.00,0.00,0.00,0.00,3.00,0.00,3.00,3.00,20.00,100.00,100.00
"EB14KKA-136713",138003.00,"Spot","Percent",42111.00,"04",,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,3.00,20.00,100.00,100.00,100.00
"EB14KKA-136713",138003.00,"Spot","Percent",42112.00,"04",,,,,100.00,100.00,100.00,100.00,100.00,100.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,20.00,100.00,100.00
"EB14KKA-136713",138003.00,"Spot","Percent",42113.00,"04",,,,,100.00,100.00,100.00,100.00,10.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,30.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
"EB14KKA-136713",138003.00,"Spot","Percent",42114.00,"04",,,,,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,100.00,100.00,100.00,100.00,100.00
"EB14KKA-136713",138003.00,"Spot","Percent",42116.00,"04",,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,30.00,100.00,100.00,40.00,0.00,0.00
"EB14KKA-136713",138003.00,"Spot","Percent",42126.00,"05",,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"EB14KKA-136713",138003.00,"Spot","Percent",42127.00,"05",,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,10.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,50.00,3.00,30.00,100.00
"EB14KKA-136713",138003.00,"Spot","Percent",42136.00,"05",,,,,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,40.00,100.00,20.00,100.00,100.00,10.00,0.00,0.00,3.00,3.00,3.00,0.00,0.00,3.00,3.00
"EB14KKA-136713",138003.00,"Spot","Percent",42139.00,"05",,,,,100.00,100.00,3.00,20.00,100.00,100.00,100.00,30.00,3.00,30.00,100.00,100.00,100.00,100.00,100.00,50.00,0.00,0.00,0.00,0.00,40.00,10.00,100.00,100.00
"EB14KKA-136713",138003.00,"Spot","Percent",42140.00,"05",,,,,100.00,50.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,10.00,0.00,0.00,3.00,0.00,3.00,3.00,3.00,3.00,0.00,0.00,10.00,3.00,0.00
"EB14KKA-136713",138003.00,"Spot","Percent",42141.00,"05",,,,,0.00,0.00,0.00,40.00,40.00,10.00,30.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,20.00,0.00,10.00,40.00,100.00,100.00,100.00,100.00,100.00
"EB14KKA-136713",138003.00,"Spot","Percent",42142.00,"05",,,,,100.00,20.00,0.00,0.00,40.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,10.00,0.00,20.00,10.00,3.00,10.00,30.00,10.00,100.00,100.00,100.00
"EB14KKA-136713",138003.00,"Spot","Percent",42149.00,"05",,,,,10.00,20.00,10.00,20.00,30.00,100.00,100.00,100.00,100.00,100.00,100.00,40.00,100.00,3.00,0.00,10.00,10.00,10.00,10.00,10.00,0.00,0.00,20.00,0.00
"EB14KKA-136713",138003.00,"Spot","Percent",42174.00,"06",,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,50.00,100.00,10.00,100.00
"EB14KKA-136713",138003.00,"Spot","Percent",42175.00,"06",,,,,100.00,100.00,100.00,100.00,50.00,20.00,20.00,10.00,100.00,100.00,100.00,100.00,100.00,100.00,40.00,10.00,30.00,40.00,100.00,100.00,50.00,20.00,100.00,100.00
"EB14KKA-136713",138003.00,"Spot","Percent",42176.00,"06",,,,,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,10.00,40.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
"EB14KKA-136713",138003.00,"Spot","Percent",42177.00,"06",,,,,100.00,100.00,100.00,10.00,10.00,20.00,30.00,30.00,30.00,10.00,40.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,50.00,30.00,40.00,100.00,100.00
"EB14KKA-136713",138003.00,"Spot","Percent",42178.00,"06",,,,,100.00,40.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
"EB14KKA-136713",138003.00,"Spot","Percent",42183.00,"06",,,,,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,3.00,3.00,0.00,0.00,3.00,0.00,3.00,0.00,0.00
"EB14KKA-136713",138003.00,"Spot","Percent",42184.00,"06",,,,,0.00,0.00,0.00,20.00,40.00,100.00,100.00,50.00,10.00,20.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
"EB14KKA-136713",138003.00,"Spot","Percent",42185.00,"06",,,,,100.00,100.00,100.00,100.00,100.00,20.00,20.00,20.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
"EB14KKA-136713",138003.00,"Spot","Percent",42202.00,"07",,,,,0.00,3.00,3.00,3.00,20.00,20.00,100.00,10.00,3.00,3.00,10.00,100.00,30.00,3.00,20.00,40.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
"EB14KKA-136713",138003.00,"Spot","Percent",42519.00,"05",,,,,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
"EB14OTZ-136709",137524.00,"Spot","Percent",41833.00,"07",,,,,10.00,0.00,3.00,3.00,3.00,3.00,3.00,0.00,3.00,0.00,3.00,3.00,3.00,20.00,3.00,10.00,3.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
"EB14OTZ-136709",137524.00,"Spot","Percent",41834.00,"07",,,,,100.00,100.00,100.00,100.00,100.00,100.00,100.00,20.00,0.00,3.00,10.00,3.00,3.00,0.00,0.00,3.00,3.00,3.00,3.00,30.00,10.00,3.00,3.00,3.00
"EB14OTZ-136709",137524.00,"Spot","Percent",42061.00,"02",,,,,0.00,3.00,3.00,0.00,0.00,0.00,0.00,10.00,3.00,0.00,0.00,3.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,3.00,3.00,0.00
"EB14OTZ-136709",137524.00,"Spot","Percent",42068.00,"03",,,,,100.00,100.00,100.00,100.00,30.00,0.00,0.00,3.00,0.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,0.00,0.00,0.00,3.00,3.00,20.00,100.00
"EB14OTZ-136709",137524.00,"Spot","Percent",42107.00,"04",,,,,0.00,0.00,3.00,0.00,0.00,0.00,0.00,50.00,100.00,100.00,40.00,30.00,30.00,20.00,10.00,0.00,3.00,0.00,3.00,0.00,0.00,3.00,3.00,30.00
"EB14OTZ-136709",137524.00,"Spot","Percent",42115.00,"04",,,,,100.00,100.00,100.00,100.00,100.00,100.00,40.00,0.00,3.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,40.00,100.00,100.00
"EB14OTZ-136709",137524.00,"Spot","Percent",42120.00,"04",,,,,100.00,100.00,100.00,100.00,40.00,0.00,0.00,0.00,3.00,3.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,3.00,3.00,40.00,20.00,100.00,100.00,100.00
"EB14OTZ-136709",137524.00,"Spot","Percent",42124.00,"04",,,,,3.00,3.00,0.00,3.00,0.00,0.00,3.00,0.00,20.00,20.00,30.00,50.00,20.00,3.00,3.00,0.00,0.00,0.00,3.00,0.00,3.00,0.00,0.00,3.00
"EB14OTZ-136709",137524.00,"Spot","Percent",42129.00,"05",,,,,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,3.00,3.00,3.00,3.00,3.00,0.00,3.00,3.00,3.00,30.00,100.00,100.00,40.00,100.00,100.00,20.00
"EB14OTZ-136709",137524.00,"Spot","Percent",42130.00,"05",,,,,50.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,30.00,100.00,50.00,30.00,30.00,100.00,100.00
"EB14OTZ-136709",137524.00,"Spot","Percent",42139.00,"05",,,,,0.00,0.00,0.00,3.00,0.00,3.00,0.00,0.00,3.00,10.00,100.00,100.00,100.00,20.00,10.00,3.00,3.00,40.00,20.00,30.00,100.00,100.00,3.00,100.00
"EB14OTZ-136709",137524.00,"Spot","Percent",42141.00,"05",,,,,3.00,40.00,40.00,20.00,40.00,3.00,20.00,10.00,3.00,3.00,0.00,0.00,3.00,0.00,20.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
"EB14OTZ-136709",137524.00,"Spot","Percent",42143.00,"05",,,,,100.00,100.00,20.00,10.00,3.00,20.00,40.00,100.00,100.00,100.00,50.00,3.00,3.00,3.00,40.00,50.00,10.00,3.00,50.00,40.00,30.00,20.00,40.00,20.00
"EB15SMK-110598",110598.00,"Spot","Percent",42401.00,"02",,,,,20.00,20.00,20.00,20.00,50.00,30.00,10.00,0.00,10.00,10.00,10.00,10.00,10.00,3.00,10.00,3.00,10.00,20.00,20.00,20.00,20.00,20.00,10.00,20.00
"EB15SMK-110598",110590.00,"Spot","Percent",42401.00,"02",,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"EB15SMK-110598",110590.00,"Spot","Percent",42402.00,"02",,,,,0.00,0.00,0.00,20.00,100.00,100.00,100.00,100.00,80.00,98.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00
"EB15SMK-110598",110598.00,"Spot","Percent",42402.00,"02",,,,,20.00,20.00,10.00,10.00,80.00,100.00,100.00,100.00,100.00,90.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,98.00,10.00,10.00,10.00,10.00,10.00,20.00
"EB15SMK-110598",110590.00,"Spot","Percent",42403.00,"02",,,,,0.00,0.00,0.00,0.00,0.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
