DeployID,Ptt,DepthSensor,Source,Instr,HistType,Date,Time Offset,Count,BadTherm,LocationQuality,Latitude,Longitude,NumBins,Sum,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,Bin24,Bin25,Bin26,Bin27,Bin28,Bin29,Bin30,Bin31,Bin32,Bin33,Bin34,Bin35,Bin36,Bin37,Bin38,Bin39,Bin40,Bin41,Bin42,Bin43,Bin44,Bin45,Bin46,Bin47,Bin48,Bin49,Bin50,Bin51,Bin52,Bin53,Bin54,Bin55,Bin56,Bin57,Bin58,Bin59,Bin60,Bin61,Bin62,Bin63,Bin64,Bin65,Bin66,Bin67,Bin68,Bin69,Bin70,Bin71,Bin72
149452,149452,,Transmission,Mk10,1Percent,2019-10-16 00:00:00,1125.000000,2,,,,,24,,0,2,11,11,11,9,17,21,23,18,6,7,4,5,5,5,7,6,7,8,10,8,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149452,149452,,Transmission,Mk10,1Percent,2019-10-17 00:00:00,1125.000000,2,,,,,24,,9,9,8,8,8,11,20,22,17,12,14,4,4,5,5,5,5,4,5,6,6,6,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149452,149452,,Transmission,Mk10,1Percent,2019-10-18 00:00:00,1126.000000,7,,,,,24,,6,9,9,8,7,12,14,17,10,5,4,5,5,5,6,5,6,5,5,6,7,10,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149452,149452,,Transmission,Mk10,1Percent,2019-10-19 00:00:00,1126.000000,3,,,,,24,,0,0,0,0,0,0,0,0,0,17,21,12,2,0,2,6,9,9,9,11,11,11,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149452,149452,,Transmission,Mk10,1Percent,2019-10-20 00:00:00,1126.000000,3,,,,,24,,3,6,6,9,8,0,0,0,0,0,0,0,0,0,4,1,2,6,7,8,2,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149452,149452,,Transmission,Mk10,1Percent,2019-10-21 00:00:00,1126.000000,2,,,,,24,,2,0,0,0,0,0,0,0,0,0,0,2,6,9,8,2,1,2,11,8,7,11,15,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149452,149452,,Transmission,Mk10,1Percent,2019-10-22 00:00:00,1127.000000,3,,,,,24,,6,0,4,12,5,0,30,11,23,17,8,18,11,6,6,6,5,5,6,4,0,8,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149452,149452,,Transmission,Mk10,1Percent,2019-10-23 00:00:00,1127.000000,1,,,,,24,,3,6,7,8,8,3,3,0,0,18,27,24,19,23,22,21,13,5,5,6,6,6,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149452,149452,,Transmission,Mk10,1Percent,2019-10-25 00:00:00,1127.000000,3,,,,,24,,6,7,8,7,6,0,0,17,14,4,5,5,5,5,5,7,6,5,8,7,7,9,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149452,149452,,Transmission,Mk10,1Percent,2019-10-27 00:00:00,1128.000000,2,,,,,24,,3,9,7,6,6,6,6,6,5,5,6,5,6,7,20,5,5,4,5,5,5,6,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149452,149452,,Transmission,Mk10,1Percent,2019-10-28 00:00:00,1128.000000,2,,,,,24,,7,7,7,7,8,9,7,11,14,16,17,21,20,19,12,4,4,6,6,4,5,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149452,149452,,Transmission,Mk10,1Percent,2019-10-29 00:00:00,1128.000000,2,,,,,24,,7,7,8,8,8,7,7,6,8,6,7,7,8,18,16,18,7,5,5,6,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149452,149452,,Transmission,Mk10,1Percent,2019-10-30 00:00:00,1129.000000,3,,,,,24,,6,7,7,7,7,5,6,7,7,12,14,8,6,5,6,6,7,7,7,7,6,8,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149452,149452,,Transmission,Mk10,1Percent,2019-10-31 00:00:00,1129.000000,2,,,,,24,,8,8,7,8,15,17,19,18,12,8,18,11,5,5,7,8,7,7,6,6,5,7,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
